runId,rowNumber,key,status,category,severity,explanation,nextAction,evidenceHint,note,axEvidence
"excel-ax-20260503-055219",2,"DEMF","AxUnavailable","AxConnectivity","blocked","AX could not be queried with the current setup.","Enable AX integration, configure OData, or open AX foreground context for UIA evidence.","AX integration disabled in Setup.","AX integration disabled in Setup.",""
"excel-ax-20260503-055219",3,"DEMF","DuplicateInExcel","Duplicate","warning","The same key appears multiple times in the Excel list.","Decide which Excel row is authoritative and remove or merge duplicates.","Duplicate detected before AX lookup.","Key appears more than once in the Excel list.",""
"excel-ax-20260503-055219",4,"DEMF","DuplicateInExcel","Duplicate","warning","The same key appears multiple times in the Excel list.","Decide which Excel row is authoritative and remove or merge duplicates.","Duplicate detected before AX lookup.","Key appears more than once in the Excel list.",""
"excel-ax-20260503-055219",5,"USMF","AxUnavailable","AxConnectivity","blocked","AX could not be queried with the current setup.","Enable AX integration, configure OData, or open AX foreground context for UIA evidence.","AX integration disabled in Setup.","AX integration disabled in Setup.",""
